GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dataset Building Subsystem,com.ctg.dataFab.label.controller,LabelTaskController,35,52,0,0,10,14,1,8,1,8
Dataset Building Subsystem,com.ctg.dataFab.common.enums,LabelTaskStatus,31,73,4,0,5,10,4,3,2,3
Dataset Building Subsystem,com.ctg.dataFab.common.enums,DataLevel,0,90,0,4,0,13,0,8,0,6
Dataset Building Subsystem,com.ctg.dataFab.common.enums,DataModality,18,91,2,6,4,12,4,6,2,4
Dataset Building Subsystem,com.ctg.dataFab.common.enums,DataStatus,9,103,1,3,2,14,2,5,1,4
Dataset Building Subsystem,com.ctg.dataFab.label.entity,LabelTask,180,655,102,64,0,21,82,46,0,45
Dataset Building Subsystem,com.ctg.dataFab.label.entity,LabelRecord,92,343,53,33,0,11,43,25,0,25
Dataset Building Subsystem,com.ctg.dataFab.label.entity,LabelArbitration,475,0,94,0,12,0,74,0,27,0
Dataset Building Subsystem,com.ctg.dataFab.etl.service.impl,EtlTaskServiceImpl,0,340,0,12,0,77,0,13,0,7
Dataset Building Subsystem,com.ctg.dataFab.etl.service.impl,EtlRuleServiceImpl,0,138,0,6,0,30,0,11,0,8
Dataset Building Subsystem,com.ctg.dataFab.etl.controller,EtlRuleController,73,10,0,0,21,2,6,2,6,2
Dataset Building Subsystem,com.ctg.dataFab.etl.controller,EtlTaskController,0,74,0,0,0,20,0,7,0,7
Dataset Building Subsystem,com.ctg.dataFab,DataFabApplication,5,3,0,0,2,1,1,1,1,1
